num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
911,565,1177,福建电力职业技术学院,4135012628,福建省,泉州市,专科,nan,福建电力职业技术学院,118.593126,24.952475,75036835970637af5e0d0203,丰泽区
912,565,1177,福建电力职业技术学院,4135012628,福建省,泉州市,专科,nan,福建电力职业技术学院(洛江校区),118.642838,25.026529,96a9bcb2cb0572ce336212ee,洛江区
913,566,1178,厦门海洋职业技术学院,4135012629,福建省,厦门市,专科,nan,厦门海洋职业技术学院(翔安校区),118.262656,24.59813,968298d8aeb515b9c61e518f,翔安区
914,566,1178,厦门海洋职业技术学院,4135012629,福建省,厦门市,专科,nan,厦门海洋职业技术学院(思明校区),118.112067,24.494228,803708f192db0179008972b6,思明区
915,566,1178,厦门海洋职业技术学院,4135012629,福建省,厦门市,专科,nan,厦门海洋职业技术学院-图书馆(翔安校区),118.26183,24.598005,7a8f4bf92211a9a96f47608e,翔安区
916,568,1180,福建卫生职业技术学院,4135012633,福建省,福州市,专科,nan,福建卫生职业技术学院,119.177774,26.14849,39d43f827ce4c186a9059dae,闽侯县
917,568,1180,福建卫生职业技术学院,4135012633,福建省,福州市,专科,nan,福建卫生职业技术学院(榕西校区),119.200085,26.134739,24ac34b8c0786601d518b728,闽侯县
918,572,1184,泉州华光职业学院,4135012927,福建省教育厅,泉州市,专科,民办,泉州华光职业学院,118.707302,24.966098,ad482ee0aad39b6f95ec84ca,惠安县
919,572,1184,泉州华光职业学院,4135012927,福建省教育厅,泉州市,专科,民办,泉州华光职业学院(北区),118.709693,24.971114,e420b3d044aa5784a8f729f9,惠安县
920,572,1184,泉州华光职业学院,4135012927,福建省教育厅,泉州市,专科,民办,泉州华光职业学院商学院,118.707436,24.965578,683ead6fa15c7ec540ab9add,惠安县
921,572,1184,泉州华光职业学院,4135012927,福建省教育厅,泉州市,专科,民办,泉州华光职业学院西区,118.707611,24.971562,cfcfb554fbc851642b02e182,惠安县
922,573,1185,闽北职业技术学院,4135013764,福建省,南平市,专科,nan,闽北职业技术学院(江南校区),118.258048,26.584793,14b279c95039f064940319ad,延平区
