num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
96,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学科德学院,116.318854,39.51881,ceb1f52e4501aafa75e5b66b,大兴区
97,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学-学前教育学院,116.32211,39.933213,6588d692675829e2a8175a20,海淀区
98,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学大兴附属中学,116.361897,39.725463,ca50bea000caf58c58f6bea4,大兴区
99,25,26,首都体育学院,4111010029,北京市,北京市,本科,公办,首都体育学院,116.353823,39.975812,97772daad3e64869a0acc474,海淀区
100,25,26,首都体育学院,4111010029,北京市,北京市,本科,公办,首都体育学院(凤凰岭校区),116.118907,40.085131,925c550f16cef9b25b3ac8a9,海淀区
101,26,27,北京外国语大学,4111010030,教育部,北京市,本科,公办,北京外国语大学,116.319536,39.961489,be1ea5ef6d3b72bf15948ead,海淀区
102,26,27,北京外国语大学,4111010030,教育部,北京市,本科,公办,北京外国语大学(西校区),116.312918,39.961199,4cee79615c283c592db96d3b,海淀区
103,27,28,北京第二外国语学院,4111010031,北京市,北京市,本科,公办,北京第二外国语学院,116.5701,39.918528,bcaebff84c6a6554c8e33c89,朝阳区
104,27,28,北京第二外国语学院,4111010031,北京市,北京市,本科,公办,北京第二外国语学院(贯培学院),116.003314,40.459497,8c5ef70be2992d80f50e77ce,延庆区
105,27,28,北京第二外国语学院,4111010031,北京市,北京市,本科,公办,北京第二外国语学院附属中学(杨闸校区),116.598697,39.915719,5940c958a0245359c16c14b8,朝阳区
106,28,29,北京语言大学,4111010032,教育部,北京市,本科,公办,北京语言大学,116.352933,40.000642,231325da27c3bd1f88db73df,海淀区
107,28,29,北京语言大学,4111010032,教育部,北京市,本科,公办,北京语言大学,116.351376,39.998824,a2acd142100f17f061180908,海淀区
108,28,29,北京语言大学,4111010032,教育部,北京市,本科,公办,北京语言大学,116.351927,39.998764,97713343e54d24774afc8d93,海淀区
109,28,29,北京语言大学,4111010032,教育部,北京市,本科,公办,北京语言大学,116.351927,39.998764,6a0f5ba99755a54ba2d23066,海淀区
110,28,29,北京语言大学,4111010032,教育部,北京市,本科,公办,北京语言大学-家属区,116.349232,40.000197,bff8fa7d896265a1c8213d1a,海淀区
111,29,30,中国传媒大学,4111010033,教育部,北京市,本科,公办,中国传媒大学,116.563871,39.918036,9db9b00af2830f7c4f6d46ca,朝阳区
112,29,30,中国传媒大学,4111010033,教育部,北京市,本科,公办,中国传媒大学-国际学院,116.56476,39.916712,248e7c43c0fda00e1d1d117f,朝阳区
113,29,30,中国传媒大学,4111010033,教育部,北京市,本科,公办,中国传媒大学广告学院,116.565492,39.920737,31074c8ff81b327bfb221361,朝阳区
114,30,31,中央财经大学,4111010034,教育部,北京市,本科,公办,中央财经大学(学院南路校区),116.349163,39.965211,ec31c0c93164a0d0ab059d8e,海淀区
115,30,31,中央财经大学,4111010034,教育部,北京市,本科,公办,中央财经大学(沙河新校区),116.287948,40.177891,9447f6d6c1a737da71210b79,昌平区
116,30,31,中央财经大学,4111010034,教育部,北京市,本科,公办,中央财经大学(清河校区),116.329452,40.037424,b1c556e869f4650db4265551,海淀区
117,31,32,对外经济贸易大学,4111010036,教育部,北京市,本科,公办,对外经济贸易大学,116.434341,39.986491,fff88d28c2ff684eb54f5434,朝阳区
118,31,32,对外经济贸易大学,4111010036,教育部,北京市,本科,公办,对外经济贸易大学宿舍(麦子店街),116.475257,39.95029,3a00ec4fba280a7e364aaeea,朝阳区
119,32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,北京物资学院,116.644583,39.936967,d991e116ae2909551f389464,通州区
120,32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,北京物资学院,116.644041,39.933212,82f8df8eb95715c6c27da295,通州区
121,32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,北京物资学院(右安门校区),116.364947,39.876096,2dbf29ef088c0bde43afe644,西城区
122,32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,北京物资学院,116.643866,39.933135,0f4e6cd50f57ebd2adcb66de,通州区
123,32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,北京物资学院,116.644307,39.933279,263597059caca27330621222,通州区
124,32,33,北京物资学院,4111010037,北京市,北京市,本科,公办,北京物资学院-商学院,116.643463,39.93457,c2ddc1d9a7c37c42d8131830,通州区
125,33,34,首都经济贸易大学,4111010038,北京市,北京市,本科,公办,首都经济贸易大学,116.323563,39.8476,f2cc41465657eb0dcd04ef32,丰台区
126,33,34,首都经济贸易大学,4111010038,北京市,北京市,本科,公办,首都经济贸易大学(红庙校区),116.482491,39.920327,64af3bce6457eb87d1f49e68,朝阳区
127,33,34,首都经济贸易大学,4111010038,北京市,北京市,本科,公办,首都经济贸易大学(密云分校),116.835785,40.374525,02d24270d30c8aa002897298,密云区
128,33,34,首都经济贸易大学,4111010038,北京市,北京市,本科,公办,首都经济贸易大学华侨学院,116.318153,39.846443,e6b71a5b670fafec6e4760b9,丰台区
129,34,35,中国消防救援学院,4111010039,应急管理部,北京市,本科,公办,中国消防救援学院,116.094092,40.207776,2a9371b9e3773f0331870acf,昌平区
130,34,35,中国消防救援学院,4111010039,应急管理部,北京市,本科,公办,中国消防救援学院北京警种学院,116.094086,40.207961,9f725bc45d6668a3744ff111,昌平区
131,35,36,外交学院,4111010040,外交部,北京市,本科,公办,外交学院(展览路校区),116.352266,39.932071,d82d669758714ca6d518b700,西城区
132,35,36,外交学院,4111010040,外交部,北京市,本科,公办,外交学院,116.287162,40.160217,a9b4afe3c46357dd5b109346,昌平区
133,36,37,中国人民公安大学,4111010041,公安部,北京市,本科,公办,中国人民公安大学(木樨地校区),116.343705,39.906724,1b9803bb255bb245c0364441,西城区
134,36,37,中国人民公安大学,4111010041,公安部,北京市,本科,公办,中国人民公安大学(团河校区),116.37251,39.771627,6ac0259edc779bd6c909f0e7,大兴区
135,36,37,中国人民公安大学,4111010041,公安部,北京市,本科,公办,中国人民公安大学东小区,116.346501,39.907531,5946adf7371b4880f7b916f3,西城区
136,37,38,国际关系学院,4111010042,教育部,北京市,本科,公办,国际关系学院,116.292752,40.010144,5a3a97e328d08884b42655f6,海淀区
137,37,38,国际关系学院,4111010042,教育部,北京市,本科,公办,国际关系学院社区,116.292351,40.010664,5f4ac028e14489bbca1b955f,海淀区
138,38,39,北京体育大学,4111010043,国家体育总局,北京市,本科,公办,北京体育大学,116.325654,40.029575,7c86f335bbcc18fc5fbe8669,海淀区
139,38,39,北京体育大学,4111010043,国家体育总局,北京市,本科,公办,北京体育大学,116.320652,40.027677,fded72e0792cf934912ca3cb,海淀区
140,38,39,北京体育大学,4111010043,国家体育总局,北京市,本科,公办,北京体育大学-武术学院,116.328758,40.028224,7d3d48ab806494d0d0ff2351,海淀区
141,39,40,中央音乐学院,4111010045,教育部,北京市,本科,公办,中央音乐学院,116.365604,39.908296,74f24595717502a1441a32c6,西城区
142,39,40,中央音乐学院,4111010045,教育部,北京市,本科,公办,中央音乐学院附中(小学部),116.432968,39.870806,c34ccecbc602dd58f92d6141,丰台区
143,40,41,中国音乐学院,4111010046,北京市,北京市,本科,公办,中国音乐学院,116.385599,39.997789,06d2dffd135142f689f15d8d,朝阳区
144,40,41,中国音乐学院,4111010046,北京市,北京市,本科,公办,中国音乐学院,116.384294,39.997095,14717f3c35881a72f50e7761,朝阳区
145,40,41,中国音乐学院,4111010046,北京市,北京市,本科,公办,中国音乐学院(丰台职大校区),116.292481,39.875185,0f823c614b75825cf8f0cb1f,丰台区
146,40,41,中国音乐学院,4111010046,北京市,北京市,本科,公办,中国音乐学院附属北京实验学校,116.418034,40.033694,5afc82d5b9888d33d2f49e5c,朝阳区
