num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get
902,741,1468,日照航海工程职业学院,4137014605,山东省教育厅,日照市,专科,民办,日照航海工程职业学院,119.530913,35.476258,c7ccf8922574cdf39322e0e3,东港区,1
903,743,1470,青岛幼儿师范高等专科学校,4137014688,山东省,青岛市,专科,,青岛幼儿师范高等专科学校,120.120347,36.179864,1cdd79165a785eafd42ce2de,胶州市,1
906,746,1473,临沂科技职业学院,4137014708,山东省,临沂市,专科,,临沂科技职业学院,118.510133,35.115579,746e74098779923dadcb6629,河东区,1
907,751,1535,漯河职业技术学院,4141010835,河南省,漯河市,专科,,漯河职业技术学院,114.015637,33.575362,f6ea5ec773e433ddf7e73bd9,源汇区,1
911,751,1535,漯河职业技术学院,4141010835,河南省,漯河市,专科,,漯河职业技术学院(临颍分院),113.96208,33.836418,5ce7cd0dd22bb517b3077d56,临颍县,1
912,752,1536,三门峡职业技术学院,4141010842,河南省,三门峡市,专科,,三门峡职业技术学院,111.168355,34.794162,5215e225c25442d5d2f49e76,湖滨区,1
913,754,1538,开封大学,4141011069,河南省,开封市,专科,,开封大学(北校区),114.340939,34.832959,f7cb723c7336d67b7702697a,龙亭区,1
917,754,1538,开封大学,4141011069,河南省,开封市,专科,,开封大学新校区/开封大学,114.340525,34.83034,db6d8d5886c528055b3ac88d,龙亭区,1
919,757,1541,郑州电力高等专科学校,4141011828,河南省,郑州市,专科,,郑州电力高等专科学校,113.904446,34.804218,49a02a7a5c0ab4402b201afe,中牟县,1
920,758,1542,黄河水利职业技术学院,4141012058,河南省,开封市,专科,,黄河水利职业技术学院,114.326923,34.833466,764672e59535f9ad94ec84c2,龙亭区,1
923,760,1544,河南工业和信息化职业学院,4141012581,河南省,焦作市,专科,,河南工业和信息化职业学院,113.296598,35.203232,fb6e0ad2af250ad93f9a5e37,山阳区,1
926,768,1552,河南工业职业技术学院,4141012794,河南省,南阳市,专科,,河南工业职业技术学院(新校区),112.603574,33.043616,2d26cb915e25094c3310afd3,宛城区,1
927,768,1552,河南工业职业技术学院,4141012794,河南省,南阳市,专科,,河南工业职业技术学院(老校区),112.551321,33.01316,c9e43972289e5a769d9d68df,宛城区,1
928,768,1552,河南工业职业技术学院,4141012794,河南省,南阳市,专科,,河南工业职业技术学院文化路生活区,112.53454,33.008752,fa7da3e878f11b6142d63ef1,卧龙区,1
929,772,1556,河南质量工程职业学院,4141013564,河南省,平顶山市,专科,,河南质量工程职业学院,113.297889,33.71859,764672e597ffffad95ec84b8,湛河区,1
930,776,1560,商丘医学高等专科学校,4141013782,河南省,商丘市,专科,,商丘医学高等专科学校(新校区),115.714852,34.36339,7d6e6e90cf2ca5f193114c9a,梁园区,1
931,795,1579,新乡职业技术学院,4141014245,河南省,新乡市,专科,,新乡职业技术学院,114.048985,35.284734,5e53af1a376f5b224051c09b,红旗区,1
932,795,1579,新乡职业技术学院,4141014245,河南省,新乡市,专科,,新乡职业技术学院(北校区),114.046723,35.397116,4f64412b1abc50b9ab0dd8b8,卫辉市,1
