,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
570,1182,福州英华职业学院,4135012708,福建省教育厅,福州市,专科,民办,17
571,1183,泉州纺织服装职业学院,4135012711,福建省教育厅,泉州市,专科,民办,11
572,1184,泉州华光职业学院,4135012927,福建省教育厅,泉州市,专科,民办,11
573,1185,闽北职业技术学院,4135013764,福建省,南平市,专科,,3
574,1186,福州黎明职业技术学院,4135013765,福建省教育厅,福州市,专科,民办,17
575,1187,厦门演艺职业学院,4135013767,福建省教育厅,厦门市,专科,民办,9
576,1188,厦门华天涉外职业技术学院,4135013768,福建省教育厅,厦门市,专科,民办,9
577,1189,福州科技职业技术学院,4135013769,福建省教育厅,福州市,专科,民办,17
578,1190,泉州经贸职业技术学院,4135013770,福建省,泉州市,专科,,11
579,1191,福建对外经济贸易职业技术学院,4135013771,福建省,福州市,专科,,17
580,1192,湄洲湾职业技术学院,4135013772,福建省,莆田市,专科,,1
581,1193,福建生物工程职业技术学院,4135013969,福建省,福州市,专科,,17
582,1194,福建艺术职业学院,4135013970,福建省,福州市,专科,,17
583,1195,福建幼儿师范高等专科学校,4135013972,福建省,福州市,专科,,17
584,1196,厦门城市职业学院,4135013973,福建省,厦门市,专科,,9
585,1197,泉州工艺美术职业学院,4135013975,福建省,泉州市,专科,,11
586,1198,三明医学科技职业学院,4135013976,福建省,三明市,专科,,2
587,1199,宁德职业技术学院,4135013977,福建省,宁德市,专科,,1
588,1200,福州软件职业技术学院,4135013978,福建省教育厅,福州市,专科,民办,17
589,1201,厦门兴才职业技术学院,4135013979,福建省教育厅,厦门市,专科,民办,9
590,1202,厦门软件职业技术学院,4135014059,福建省教育厅,厦门市,专科,民办,9
591,1203,福建体育职业技术学院,4135014060,福建省,福州市,专科,,17
592,1204,漳州城市职业学院,4135014110,福建省,漳州市,专科,,5
593,1205,厦门南洋职业学院,4135014111,福建省教育厅,厦门市,专科,民办,9
594,1206,厦门东海职业技术学院,4135014112,福建省教育厅,厦门市,专科,民办,9
595,1207,漳州科技职业学院,4135014113,福建省教育厅,漳州市,专科,民办,5
596,1208,漳州理工职业学院,4135014115,福建省教育厅,漳州市,专科,民办,5
597,1209,武夷山职业学院,4135014116,福建省教育厅,南平市,专科,民办,3
598,1210,漳州卫生职业学院,4135014117,福建省,漳州市,专科,,5
599,1211,泉州海洋职业学院,4135014231,福建省教育厅,泉州市,专科,民办,11
600,1212,泉州轻工职业学院,4135014232,福建省教育厅,泉州市,专科,民办,11
601,1213,厦门安防科技职业学院,4135014257,福建省教育厅,厦门市,专科,民办,9
602,1214,泉州幼儿师范高等专科学校,4135014331,福建省,泉州市,专科,,11
603,1215,闽江师范高等专科学校,4135014490,福建省,福州市,专科,,17
604,1216,泉州工程职业技术学院,4135014503,福建省教育厅,泉州市,专科,民办,11
605,1217,福州墨尔本理工职业学院,4135016411,福建省教育厅,福州市,专科,中外合作办学,17
606,1263,上饶幼儿师范高等专科学校,3636000312,江西省,上饶市,专科,,4
607,1264,抚州幼儿师范高等专科学校,3636000519,江西省,抚州市,专科,,3
608,1265,江西工业职业技术学院,4136010839,江西省,南昌市,专科,,27
609,1266,江西医学高等专科学校,4136010888,江西省,上饶市,专科,,4
610,1267,九江职业大学,4136011505,江西省,九江市,专科,,6
611,1268,九江职业技术学院,4136011785,江西省,九江市,专科,,6
612,1269,江西司法警官职业学院,4136012929,江西省,南昌市,专科,,27
613,1270,江西陶瓷工艺美术职业技术学院,4136012930,江西省,景德镇市,专科,,2
614,1271,江西旅游商贸职业学院,4136012932,江西省,南昌市,专科,,27
