FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积
185,335,175,385,通辽职业学院,4115013740.000000000000000,内蒙古自治区,通辽市,专科, ,通辽职业学院,8fa14fc3d7caf56ef7eafcd0,科尔沁区,122.245931486999993,43.679153658600001,49.6804008
186,336,176,386,科尔沁艺术职业学院,4115013741.000000000000000,内蒙古自治区,通辽市,专科, ,科尔沁艺术职业学院,a1418eb4bb0ec502ebe5822d,科尔沁区,122.254071345000000,43.679374668500003,32.9449005
187,428,265,575,吉林铁道职业技术学院,4122014052.000000000000000,吉林省,吉林市,专科, ,吉林铁道职业技术学院,32a7781ab7b2b4903586f4e5,永吉县,126.543846918000000,43.716838023299999,46.7799988
188,423,253,563,长春金融高等专科学校,4122011440.000000000000000,吉林省,长春市,专科, ,长春金融高等专科学校(莲花山校区),4981607421e0225db21e362b,二道区,125.550738707999997,43.899035585400000,53.2771988
189,325,171,381,锡林郭勒职业学院,4115012677.000000000000000,内蒙古自治区,锡林郭勒盟,专科, ,锡林郭勒职业学院,228cfbb6b3f7d0541d1d1191,锡林浩特市,116.020728750999993,43.932510822899999,47.7282982
190,460,314,663,黑龙江护理高等专科学校,4123014272.000000000000000,黑龙江省,哈尔滨市,专科, ,黑龙江护理高等专科学校(阿城校区),12c1eae9d7d1d287c3364490,阿城区,126.957219456000004,45.499481075799999,38.6143990
191,451,307,656,黑龙江民族职业学院,4123013935.000000000000000,黑龙江省,哈尔滨市,专科, ,黑龙江民族职业学院,e817f9a1ebdbefd5b42655be,平房区,126.641325301999998,45.575411328599998,31.8824997
192,441,292,641,哈尔滨铁道职业技术学院,4123012907.000000000000000,黑龙江省,哈尔滨市,专科, ,哈尔滨铁道职业技术学院,14076deed030fef403294fa8,平房区,126.632438382000004,45.576491259599997,39.8675995
193,446,299,648,黑龙江公安警官职业学院,4123013449.000000000000000,黑龙江省,哈尔滨市,专科, ,黑龙江公安警官职业学院,2a7a25ec16bc00636d3e1ba0,呼兰区,126.533000901999998,45.866435390900001,48.6721001
194,434,282,631,黑龙江建筑职业技术学院,4123012053.000000000000000,黑龙江省,哈尔滨市,专科, ,黑龙江建筑职业技术学院,b3ccfe263ed092b04151c0b6,呼兰区,126.502409865000004,45.870209146599997,71.3599014
195,308,164,374,兴安职业技术学院,4115012443.000000000000000,内蒙古自治区,兴安盟,专科, ,兴安职业技术学院(新校区),7de6a01bcb34f0d83be4a684,科尔沁右翼前旗,122.013801680000000,46.061308075100001,101.6050034
196,457,313,662,佳木斯职业学院,4123014178.000000000000000,黑龙江省,佳木斯市,专科, ,佳木斯职业学院,a5768438dec21cb729fc48eb,郊区,130.315736530000009,46.788759650499998,53.9757996
197,461,315,664,齐齐哈尔理工职业学院,4123014400.000000000000000,黑龙江省教育厅,齐齐哈尔市,专科,民办,齐齐哈尔理工职业学院,41ed4eddce2a26711ef74d4b,富拉尔基区,123.599223858000002,47.213501288300002,45.0525017
