num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get,lngN,latN
280,153,346,吕梁职业技术学院,4114014500,山西省,吕梁市,专科,,吕梁职业技术学院(南校区),111.763077,37.122293,7b7279104d8732ba84154175,孝义市,1,111.75006900956,37.1159339602982
283,154,347,大同师范高等专科学校,4114014627,山西省,大同市,专科,,大同师范高等专科学校,113.234427,40.082659,69fcd6dfddfd382ecb2915a4,平城区,1,113.220850443153,40.0758012435843
284,155,348,太原幼儿师范高等专科学校,4114014628,山西省,太原市,专科,,太原幼儿师范高等专科学校(徐沟校区),112.503224,37.568426,b9975cbfd14e25bda104642e,清徐县,1,112.490150128386,37.5620597297872
285,155,348,太原幼儿师范高等专科学校,4114014628,山西省,太原市,专科,,太原幼儿师范高等专科学校(兴华校区),112.519097,37.893901,c017c367a06f6ad2fda77816,万柏林区,1,112.506086233549,37.8875392043606
290,156,349,山西工程职业学院,4114014681,山西省,太原市,专科,,山西工程职业学院,112.555701,37.887164,9f91fe222cfa92a40f0a702b,杏花岭区,1,112.542997951945,37.8803484077579
291,156,349,山西工程职业学院,4114014681,山西省,太原市,专科,,山西工程职业学院(唐槐校区),112.612053,37.685163,57bb69b0f9498872a8059dd9,小店区,1,112.599252783707,37.678916090254
292,157,350,长治幼儿师范高等专科学校,4114014687,山西省,长治市,专科,,长治幼儿师范高等专科学校,113.087135,36.228593,a08f90b437a4dffb344aae02,潞州区,1,113.073944379852,36.2226100690662
293,158,351,山西通用航空职业技术学院,4114014697,山西省,大同市,专科,,山西通用航空职业技术学院,113.404192,39.944283,2432afd98f1a83dd902ca371,云州区,1,113.390651424843,39.9366173859547
294,159,352,朔州陶瓷职业技术学院,4114014698,山西省,朔州市,专科,,朔州陶瓷职业技术学院,113.119895,39.853556,aaf0ff4f71a7ac53f50e77be,怀仁市,1,113.106168219227,39.8464879482293
297,160,353,山西卫生健康职业学院,4214050166,山西省,太原市,专科,,山西卫生健康职业学院(双东校区),112.585237,37.850074,b4218492ee1f318cab175af3,迎泽区,1,112.572534913496,37.8433897335112
298,161,371,内蒙古建筑职业技术学院,4115010871,内蒙古自治区,呼和浩特市,专科,,内蒙古建筑职业技术学院(北校区),111.641129,40.879276,23116913c3ae5afd734b8717,回民区,1,111.627926156013,40.8720588895305
299,161,371,内蒙古建筑职业技术学院,4115010871,内蒙古自治区,呼和浩特市,专科,,内蒙古建筑职业技术学院,111.645439,40.822646,7d5f3a0a3536ab4b2cb90815,回民区,1,111.63218349902,40.8155303487401
301,162,372,内蒙古丰州职业学院,4115011429,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古丰州职业学院,111.717271,40.807849,f67d8a4651ad07e33517dca7,赛罕区,1,111.704018100481,40.8001765630384
303,162,372,内蒙古丰州职业学院,4115011429,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古丰州职业学院中山学院,111.805762,40.503105,4b8f3e38175c1bac99005081,和林格尔县,1,111.792364265061,40.4960949246497
304,163,373,包头职业技术学院,4115012057,内蒙古自治区,包头市,专科,,包头职业技术学院,109.959862,40.650215,89fd4ea3db47a547e5e9652e,青山区,1,109.947684693642,40.6431598302359
305,163,373,包头职业技术学院,4115012057,内蒙古自治区,包头市,专科,,包头职业技术学院(呼得木林校区),109.896185,40.674897,2848ffd6d8bbb40f48cc4a28,青山区,1,109.884067690673,40.66781122046
308,164,374,兴安职业技术学院,4115012443,内蒙古自治区,兴安盟,专科,,兴安职业技术学院(新校区),122.026259,46.069394,7de6a01bcb34f0d83be4a684,科尔沁右翼前旗,1,122.013801679719,46.0613080751246
313,165,375,呼和浩特职业学院,4115012670,内蒙古自治区,呼和浩特市,专科,,呼和浩特职业学院(新校区),111.844452,40.902761,c5ddcc08873fa0bbd813183c,赛罕区,1,111.831299040796,40.8950417151827
316,165,375,呼和浩特职业学院,4115012670,内蒙古自治区,呼和浩特市,专科,,呼和浩特职业学院(西校区),111.662912,40.848678,5e8f72bfac62a5e7acee7a1d,新城区,1,111.649549044138,40.8416925005303
317,165,375,呼和浩特职业学院,4115012670,内蒙古自治区,呼和浩特市,专科,,呼和浩特职业学院住宅小区,111.66507,40.847188,eef2d528d674eba73be4a617,新城区,1,111.651699271028,40.8402046037573
318,166,376,包头轻工职业技术学院,4115012671,内蒙古自治区,包头市,专科,,包头轻工职业技术学院,109.954341,40.641924,e102414e78f813502dfaa74d,青山区,1,109.9422090522,40.6347880006723
319,167,377,内蒙古电子信息职业技术学院,4115012673,内蒙古自治区,呼和浩特市,专科,,内蒙古电子信息职业技术学院,111.8569,40.903691,e3c36f147fdf30f0e40738ce,赛罕区,1,111.843760852365,40.8960401719809
320,168,378,内蒙古机电职业技术学院,4115012674,内蒙古自治区,呼和浩特市,专科,,内蒙古机电职业技术学院,111.853126,40.911173,0dc3d82d24c9c51175e5b642,赛罕区,1,111.839982853268,40.903479143475
323,169,379,内蒙古化工职业学院,4115012675,内蒙古自治区,呼和浩特市,专科,,内蒙古化工职业学院,111.858743,40.913189,41572e00154246c9b45f1e3c,新城区,1,111.845594846728,40.9055495105526
325,171,381,锡林郭勒职业学院,4115012677,内蒙古自治区,锡林郭勒盟,专科,,锡林郭勒职业学院,116.033895,43.940908,228cfbb6b3f7d0541d1d1191,锡林浩特市,1,116.020728751396,43.9325108229104
326,171,381,锡林郭勒职业学院,4115012677,内蒙古自治区,锡林郭勒盟,专科,,锡林郭勒职业学院(多伦分院),116.51813,42.21263,597a2ae65b310cbe88b9880e,多伦县,1,116.505477860786,42.2042759836993
329,172,382,内蒙古警察职业学院,4115012797,内蒙古自治区,呼和浩特市,专科,,内蒙古警察职业学院,111.701494,40.878097,bc82984985d5d807a3acc4b2,新城区,1,111.688204580695,40.870609487747
333,173,383,内蒙古体育职业学院,4115012894,内蒙古自治区,呼和浩特市,专科,,内蒙古体育职业学院,111.680546,40.864971,08fc93dff46023919b68b43d,新城区,1,111.667178663238,40.8578643464564
334,174,384,乌兰察布职业学院,4115013699,内蒙古自治区,乌兰察布市,专科,,乌兰察布职业学院,113.185269,40.981298,f0dbc45fbf776edfac080fba,察哈尔右翼前旗,1,113.171645667697,40.9734234489327
335,175,385,通辽职业学院,4115013740,内蒙古自治区,通辽市,专科,,通辽职业学院,122.257978,43.687534,8fa14fc3d7caf56ef7eafcd0,科尔沁区,1,122.245931487282,43.679153658551
336,176,386,科尔沁艺术职业学院,4115013741,内蒙古自治区,通辽市,专科,,科尔沁艺术职业学院,122.266064,43.687903,a1418eb4bb0ec502ebe5822d,科尔沁区,1,122.254071344799,43.679374668512
337,177,387,内蒙古交通职业技术学院,4115013824,内蒙古自治区,赤峰市,专科,,内蒙古交通职业技术学院,118.898637,42.278204,33441a58887ac89ac9fa5fd0,松山区,1,118.885958572293,42.2702222893418
339,178,388,包头钢铁职业技术学院,4115013864,内蒙古自治区,包头市,专科,,包头钢铁职业技术学院,109.840921,40.630663,9aa5f22f1dc552c85b109333,昆都仑区,1,109.828668933765,40.6235920835485
340,178,388,包头钢铁职业技术学院,4115013864,内蒙古自治区,包头市,专科,,包头钢铁职业技术学院,109.82513,40.661638,b33a2919161f2c39b11e36eb,昆都仑区,1,109.81294610548,40.6542632143109
341,179,389,乌海职业技术学院,4115013915,内蒙古自治区,乌海市,专科,,乌海职业技术学院,106.805551,39.656421,060f5e5329f41ed7081cc7f6,海勃湾区,1,106.794401332583,39.6491564494062
342,180,390,内蒙古科技职业学院,4115014048,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古科技职业学院,111.813355,40.86247,97d97723e242925358bbbc40,赛罕区,1,111.799968459448,40.8551086670724
343,181,391,内蒙古北方职业技术学院,4115014049,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古北方职业技术学院,111.849057,40.903717,1bf85b258dc8f2a4a1a93416,赛罕区,1,111.835914920926,40.8960064344768
344,183,393,内蒙古经贸外语职业学院,4115014051,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古经贸外语职业学院,111.701074,40.901194,04bdf4a35d028d32354aae31,新城区,1,111.687786900491,40.893697848001
345,184,394,包头铁道职业技术学院,4115014187,内蒙古自治区,包头市,专科,,包头铁道职业技术学院,110.008864,40.660823,61549c39b1370e5ddc1e52e9,九原区,1,109.996491584147,40.6537023472622
346,185,395,乌兰察布医学高等专科学校,4115014219,内蒙古自治区,乌兰察布市,专科,,乌兰察布医学高等专科学校,113.175088,40.986693,42519e6dd516671a6268584f,察哈尔右翼前旗,1,113.161489056477,40.9786796236641
347,186,396,鄂尔多斯职业学院,4115014248,内蒙古自治区,鄂尔多斯市,专科,,鄂尔多斯职业学院,109.830261,39.622539,fc1d78a902018e4bb6147fbf,康巴什区,1,109.818143946186,39.6154651674659
349,190,400,内蒙古能源职业学院,4115014337,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古能源职业学院,111.776022,40.909672,6ac9a18239b07bc14d2fdffe,新城区,1,111.762508663564,40.9024694105023
