FID,num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积,lngC,latC
1050,0,861,南京铁道职业技术学院,4132013106.000000000000000,江苏省,南京市,专科, ,南京铁道职业技术学院(浦口校区),babe236f19c5571c2fb908f7,浦口区,118.693753676000000,32.103717077699997,53.3618011,118.693753676000000,32.103717077699997
1051,0,758,南京财经大学,4132010327.000000000000000,江苏省,南京市,本科, ,南京财经大学(仙林校区),21067036d26eef739e95decd,栖霞区,118.917658005999996,32.109744171700001,88.5195999,118.917658005999996,32.109744171700001
1052,0,741,南京邮电大学,4132010293.000000000000000,江苏省,南京市,本科, ,南京邮电大学(仙林校区),bbf5fedaa64e73a55abbbca2,栖霞区,118.925832747000001,32.115774131499997,125.0390015,118.925832747000001,32.115774131499997
1053,0,764,南京工业职业技术大学,4132010850.000000000000000,江苏省,南京市,本科, ,南京工业职业技术大学(仙林校区),285b5874c43858e4cf06a4bb,栖霞区,118.935526502000002,32.122697381999998,72.9997025,118.935526502000002,32.122697381999998
1054,0,732,南京大学,4132010284.000000000000000,教育部,南京市,本科, ,南京大学(仙林校区),cfe4cb9504cf581697f08c65,栖霞区,118.953449899000006,32.121551598400004,246.6280060,118.953449899000006,32.121551598400004
1055,0,736,南京理工大学,4132010288.000000000000000,工业和信息化部,南京市,本科, ,南京理工大学(紫金校区),438f6111a5448715f8dc85d1,栖霞区,118.929339714999998,32.128260451599999,38.8928986,118.929339714999998,32.128260451599999
1056,0,865,南京信息职业技术学院,4132013112.000000000000000,江苏省,南京市,专科, ,南京信息职业技术学院,6e2f779398c30cb3adb22a85,栖霞区,118.936698852000006,32.131030611200003,57.3000984,118.936698852000006,32.131030611200003
1057,0,749,南京农业大学,4132010307.000000000000000,教育部,南京市,本科, ,南京农业大学(浦口校区),3cf7cd8583ff1f66b320a8f5,浦口区,118.694239863000007,32.134935599899997,37.3566017,118.694239863000007,32.134935599899997
1058,0,732,南京大学,4132010284.000000000000000,教育部,南京市,本科, ,南京大学(浦口校区),8c499c8444279faed6851fbc,浦口区,118.700112540000006,32.179538307300000,67.8964996,118.700112540000006,32.179538307300000
1059,0,746,南京信息工程大学,4132010300.000000000000000,江苏省,南京市,本科, ,南京信息工程大学,9b9d46a4b34128d8b11e36e3,浦口区,118.710164930999994,32.205407682699999,132.8269958,118.710164930999994,32.205407682699999
1060,0,753,中国药科大学,4132010316.000000000000000,教育部,南京市,本科, ,中国药科大学(江宁校区),fcc1398d114cd774a3acc404,江宁区,118.913106372000001,31.905020111999999,146.1080017,118.913106372000001,31.905020111999999
1061,996,2001,茂名职业技术学院,4144013712.000000000000000,广东省,茂名市,专科, ,茂名职业技术学院(南校区),a7ac2dcc8a28331aa9175a6c,电白区,110.973409168000003,21.469424387600000,37.7897987,110.973110759999997,21.468905595100001
1062,1010,2135,崇左幼儿师范高等专科学校,4245051675.000000000000000,广西壮族自治区,崇左市,专科, ,崇左幼儿师范高等专科学校,fb848efa00490aab9403193c,江州区,107.397904221999994,22.387370095300000,36.7439995,107.398629486999994,22.385843065100001
1063,990,1958,顺德职业技术学院,4144010831.000000000000000,广东省,佛山市,专科, ,顺德职业技术学院,0a15c7ecf464c9ffed74f853,顺德区,113.319032402999994,22.812440740100001,119.9830017,113.318888822000005,22.812422777999998
1064,1008,2130,广西物流职业技术学院,4145014723.000000000000000,广西壮族自治区,贵港市,专科, ,广西物流职业技术学院,27cce4e361839e3e5cbe86e6,港北区,109.545456075999994,23.048207927499998,50.5812988,109.541503351000003,23.049094962500000
1065,1002,2025,广东环境保护工程职业学院,4144014311.000000000000000,广东省,佛山市,专科, ,广东环境保护工程职业学院,bba87388e74c45debca8222e,南海区,112.904981939999999,23.050944340200001,30.2877007,112.904981406000005,23.050755117800001
1066,1007,2113,广西工程职业学院,4145014127.000000000000000,广西壮族自治区教育厅,百色市,专科,民办,广西工程职业学院,f1ecf09129e91e1de01103a7,平果市,107.601231217999995,23.317584020200002,46.7067986,107.602760791999998,23.316322226200001
1067,824,1207,漳州科技职业学院,4135014113.000000000000000,福建省教育厅,漳州市,专科,民办,漳州科技职业学院,9ee5a929741be0e5c72ba114,漳浦县,117.531718494000003,24.079396228000000,41.8988991,117.531872485999997,24.079328711999999
1068,1005,2101,柳州铁道职业技术学院,4145012392.000000000000000,广西壮族自治区,柳州市,专科, ,柳州铁道职业技术学院,e81dbc05bbf97d7b901fc998,鱼峰区,109.529145013000004,24.398874369300000,49.3879013,109.529181144000006,24.398373035700001
1069,814,1196,厦门城市职业学院,4135013973.000000000000000,福建省,厦门市,专科, ,厦门城市职业学院,691305231574820a735e80ae,思明区,118.161478376999995,24.465639115300000,32.7901001,118.159731191999995,24.463172559800000
