序号,学校名称,学校标识码,主管部门,所在地,办学层次,办学方式
685,上海海关学院,4131010274,海关总署,上海市,本科,公办
686,华东政法大学,4131010276,上海市,上海市,本科,公办
687,上海体育学院,4131010277,上海市,上海市,本科,公办
688,上海音乐学院,4131010278,上海市,上海市,本科,公办
689,上海戏剧学院,4131010279,上海市,上海市,本科,公办
690,上海大学,4131010280,上海市,上海市,本科,公办
691,上海公安学院,4131010283,上海市,上海市,本科,公办
692,上海工程技术大学,4131010856,上海市,上海市,本科,公办
693,上海立信会计金融学院,4131011047,上海市,上海市,本科,公办
694,上海电机学院,4131011458,上海市,上海市,本科,公办
695,上海杉达学院,4131011833,上海市教委,上海市,本科,民办
696,上海政法学院,4131011835,上海市,上海市,本科,公办
697,上海第二工业大学,4131012044,上海市,上海市,本科,公办
698,上海商学院,4131012050,上海市,上海市,本科,公办
699,上海立达学院,4131012587,上海市教委,上海市,本科,民办
700,上海建桥学院,4131012799,上海市教委,上海市,本科,民办
701,上海兴伟学院,4131012914,上海市教委,上海市,本科,民办
702,上海中侨职业技术大学,4131012915,上海市教委,上海市,本科,民办
703,上海视觉艺术学院,4131013632,上海市教委,上海市,本科,民办
704,上海外国语大学贤达经济人文学院,4131013636,上海市教委,上海市,本科,民办
705,上海师范大学天华学院,4131013893,上海市教委,上海市,本科,民办
706,上海科技大学,4131014423,上海市 中国科学院,上海市,本科,公办
707,上海纽约大学,4131016404,上海市教委,上海市,本科,中外合作办学
733,苏州大学,4132010285,江苏省,苏州市,本科,公办
737,江苏科技大学,4132010289,江苏省,镇江市,本科,公办
738,中国矿业大学,4132010290,教育部,徐州市,本科,公办
740,常州大学,4132010292,江苏省,常州市,本科,公办
743,江南大学,4132010295,教育部,无锡市,本科,公办
745,江苏大学,4132010299,江苏省,镇江市,本科,公办
747,南通大学,4132010304,江苏省,南通市,本科,公办
748,盐城工学院,4132010305,江苏省,盐城市,本科,公办
751,徐州医科大学,4132010313,江苏省,徐州市,本科,公办
755,江苏师范大学,4132010320,江苏省,徐州市,本科,公办
756,淮阴师范学院,4132010323,江苏省,淮安市,本科,公办
757,盐城师范学院,4132010324,江苏省,盐城市,本科,公办
762,苏州科技大学,4132010332,江苏省,苏州市,本科,公办
763,常熟理工学院,4132010333,江苏省,苏州市,本科,公办
765,淮阴工学院,4132011049,江苏省,淮安市,本科,公办
766,常州工学院,4132011055,江苏省,常州市,本科,公办
767,扬州大学,4132011117,江苏省,扬州市,本科,公办
772,江苏理工学院,4132011463,江苏省,常州市,本科,公办
773,江苏海洋大学,4132011641,江苏省,连云港市,本科,公办
774,徐州工程学院,4132011998,江苏省,徐州市,本科,公办
776,南通理工学院,4132012056,江苏省教育厅,南通市,本科,民办
779,泰州学院,4132012917,江苏省,泰州市,本科,公办
780,无锡太湖学院,4132013571,江苏省教育厅,无锡市,本科,民办
782,中国矿业大学徐海学院,4132013579,江苏省教育厅,徐州市,本科,民办
787,南京理工大学泰州科技学院,4132013842,江苏省教育厅,泰州市,本科,民办
788,南京师范大学泰州学院,4132013843,江苏省教育厅,泰州市,本科,民办
790,南京师范大学中北学院,4132013906,江苏省教育厅,镇江市,本科,民办
791,南京医科大学康达学院,4132013980,江苏省教育厅,连云港市,本科,民办
792,南京中医药大学翰林学院,4132013981,江苏省教育厅,泰州市,本科,民办
793,无锡学院,4132013982,江苏省,无锡市,本科,公办
794,苏州城市学院,4132013983,江苏省,苏州市,本科,公办
795,苏州大学应用技术学院,4132013984,江苏省教育厅,苏州市,本科,民办
796,苏州科技大学天平学院,4132013985,江苏省教育厅,苏州市,本科,民办
797,江苏大学京江学院,4132013986,江苏省教育厅,镇江市,本科,民办
798,扬州大学广陵学院,4132013987,江苏省教育厅,扬州市,本科,民办
